Counties,total,under 1 year,1 year,2 years,3 years,4 years,5 years,5 years and under,6 through 12 years
Adams,66787,1276,803,579,578,838,1139,5213,5456
Alexander,6776,124,97,82,83,101,101,588,648
Bond,17034,149,149,150,156,169,160,933,1297
Boone,53638,888,645,505,481,582,660,3761,5087
Brown,6791,110,59,37,32,39,61,338,473
Bureau,33619,293,340,380,393,368,318,2092,2782
Calhoun,4897,24,41,62,70,51,32,280,383
Carroll,14704,179,156,139,131,135,129,869,998
Cass,12880,383,137,69,71,165,340,1165,1056
Champaign,207946,2287,2330,2341,2335,2289,1996,13578,13944
Christian,33562,221,302,385,423,378,308,2017,2728
Clark,15924,220,206,189,173,160,139,1087,1349
Clay,13393,151,136,131,149,199,238,1004,989
Clinton,37640,517,420,359,355,416,460,2527,2706
Coles,52540,525,478,447,456,511,551,2968,3456
Cook,5238541,61246,65569,68605,69687,67401,57410,389918,409532
Crawford,19214,157,221,265,218,118,64,1043,1451
Cumberland,10899,184,137,109,100,112,108,750,884
DeKalb,104473,1226,1245,1245,1234,1200,1052,7202,8232
DeWitt,16176,186,158,146,169,248,297,1204,1247
Douglas,19830,181,254,322,325,247,173,1502,1769
DuPage,931826,10114,10749,11235,11583,11609,10329,65619,77910
Edgar,17603,297,197,142,129,154,189,1108,1336
Edwards,6570,139,82,56,52,72,103,504,535
Effingham,34164,306,423,537,560,451,336,2613,2741
Fayette,21980,174,221,264,276,243,180,1358,1567
Ford,13470,209,125,91,104,199,331,1059,1088
Franklin,39302,433,448,458,467,476,463,2745,3108
Fulton,35733,316,337,355,369,376,331,2084,2665
Gallatin,5226,87,60,46,43,52,64,352,430
Greene,13311,227,137,96,98,149,222,929,1055
Grundy,50333,544,569,603,669,774,781,3940,4565
Hamilton,8259,24,55,107,148,118,68,520,736
Hancock,18264,155,179,203,221,227,206,1191,1430
Hardin,4161,26,24,23,24,29,28,154,271
Henderson,6927,62,62,65,71,82,82,424,400
Henry,49649,511,546,571,576,555,477,3236,4091
Iroquois,28457,350,311,282,276,297,304,1820,2249
Jackson,59115,866,694,577,533,557,587,3814,3776
Jasper,9608,207,117,78,72,98,134,706,872
Jefferson,38358,649,505,416,398,460,496,2924,2996
Jersey,22215,66,145,273,339,234,129,1186,1752
Jo Daviess,22046,209,184,169,170,191,188,1111,1446
Johnson,12899,147,125,108,102,108,113,703,912
Kane,529402,6468,6695,6909,7258,7689,7125,42144,51816
Kankakee,110801,1349,1306,1281,1329,1458,1453,8176,9669
Kendall,122933,1674,1701,1739,1852,2043,2050,11059,14341
Knox,51374,686,577,499,469,487,464,3182,3667
Lake,704476,7433,7851,8257,8816,9447,8914,50718,64143
LaSalle,111151,1263,1186,1140,1190,1345,1331,7455,8529
Lawrence,16457,185,170,160,163,184,195,1057,1125
Lee,34670,333,338,345,363,397,404,2180,2665
Livingston,36812,383,424,448,439,389,327,2410,2849
Logan,29488,195,275,354,371,297,222,1714,2055
Macon,107587,1284,1276,1277,1333,1444,1395,8009,8856
Macoupin,45960,535,461,414,419,489,533,2851,3707
Madison,266153,3061,3134,3166,3177,3131,2831,18500,21508
Marion,38305,455,460,467,489,525,514,2910,3198
Marshall,11925,148,124,109,114,142,155,792,879
Mason,13904,160,130,113,118,149,167,837,1057
Massac,14594,122,133,144,160,182,204,945,1457
McDonough,31597,337,265,222,220,264,303,1611,1821
McHenry,308043,2730,3191,3607,3854,3795,3317,20494,28063
McLean,173231,2067,2104,2119,2135,2136,1967,12528,13913
Menard,12416,222,122,83,86,150,225,888,1068
Mercer,15794,116,134,154,178,202,192,976,1306
Monroe,33739,375,348,333,350,406,397,2209,2805
Montgomery,29173,306,288,276,286,320,323,1799,2327
Morgan,34442,332,351,365,375,376,335,2134,2504
Moultrie,14711,125,189,250,239,157,101,1061,1334
Ogle,51619,384,525,657,678,546,425,3215,4410
Peoria,186145,2886,2711,2545,2444,2392,2158,15136,16119
Perry,21467,198,206,214,225,236,213,1292,1403
Piatt,16433,121,161,205,236,236,203,1162,1341
Pike,15930,103,166,237,252,184,122,1064,1387
Pope,4360,14,33,62,56,20,7,192,268
Pulaski,5691,31,48,68,79,69,44,339,462
Putnam,5771,57,56,53,47,41,38,292,478
Randolph,32829,426,352,295,266,263,281,1883,2344
Richland,15953,195,222,236,222,180,143,1198,1380
Rock Island,146205,1694,1875,1997,1989,1817,1519,10891,11862
Saline,24430,221,293,352,339,251,174,1630,1801
Sangamon,198134,2389,2252,2170,2259,2553,2617,14240,16393
Schuyler,7181,37,49,63,73,72,64,358,433
Scott,5109,44,43,44,51,66,69,317,428
Shelby,21906,216,221,226,242,268,263,1436,1773
St. Clair,264433,3485,3349,3248,3304,3543,3444,20373,22281
Stark,5551,64,65,64,62,58,59,372,477
Stephenson,45839,356,440,527,603,631,571,3128,3731
Tazewell,134695,1819,1601,1466,1506,1757,1856,10005,11168
Union,17267,209,221,219,193,153,129,1124,1427
Vermilion,79207,1167,1051,971,977,1084,1110,6360,6763
Wabash,11568,84,129,176,187,142,93,811,904
Warren,17429,145,190,235,250,219,162,1201,1420
Washington,14260,184,149,129,135,177,220,994,1125
Wayne,16569,123,181,246,276,235,165,1226,1318
White,14186,72,126,199,242,203,146,988,1161
Whiteside,56823,708,609,557,607,798,919,4198,4419
Will,687727,7910,7912,7982,8431,9311,9112,50658,65738
Williamson,67477,642,828,967,905,651,444,4437,5435
Winnebago,287512,3408,3489,3558,3691,3861,3581,21588,24278
Woodford,38942,321,415,510,562,535,453,2796,3612
